name,state,White,Hispanic,Black
AL,1,12:28,12:43,13:07
AK,2,12:33,12:49, 
AZ,4,12:31,12:32,12:37
AR,5,12:37,13:07,13:20
CA,6,12:38,12:32,12:56
CO,8,12:45,12:51,13:11
CT,9,12:42,13:22,13:38
DE,10,12:53,13:37,13:43
DC,11,13:50,13:47,13:55
FL,12,12:57,12:55,13:33
GA,13,12:47,13:14,13:35
HI,15,12:08,12:44, 
ID,16,12:48,12:51, 
IL,17,12:46,13:02,13:40
IN,18,12:52,13:19,14:01
IA,19,12:40,13:19,14:00
KS,20,12:46,13:13,13:27
KY,21,12:55,13:31,14:18
LA,22,12:33,12:51,13:16
ME,23,12:48, , 
MD,24,12:46,13:06,13:31
MA,25,12:52,13:28,13:24
MI,26,13:01,13:26,14:34
MN,27,12:52,13:23,13:50
MS,28,12:31,13:24,13:04
MO,29,12:42,13:03,13:40
MT,30,12:52, , 
NE,31,12:45,13:02,13:56
NV,32,12:33,12:39,13:15
NH,33,12:41,12:44, 
NJ,34,12:46,13:08,13:42
NM,35,12:42,12:51, 
NY,36,13:02,13:34,13:41
NC,37,12:51,13:09,13:43
ND,38,12:57, , 
OH,39,12:59,14:14,14:17
OK,40,12:48,12:59,13:33
OR,41,12:40,12:34, 
PA,42,12:53,13:47,13:58
RI,44,12:54,13:25,13:02
SC,45,12:53,13:23,13:21
SD,46,12:54, ,14:03
TN,47,12:46,12:54,13:37
TX,48,12:45,13:00,13:17
UT,49,12:52,12:55, 
VT,50,12:58, , 
VA,51,12:53,12:55,13:32
WA,53,12:32,12:25,13:12
WV,54,13:04, ,14:02
WI,55,12:43,13:26,13:53
WY,56,12:41,13:11, 
